Town,Broker,Address,Bedrooms,Bathrooms,Garage,Sqft  ,sqft type ,Listing Price  ,Closing Price  ,sold date ,Type,Rental Price  ,Rent type ,Asking Rent,Taxes,Tax type,Maint  ,Maint type ,pricepersqft,rentpersqft,tax_pct,maintpersqft,Cap Rate,10capprice
Perth Amboy,Paul Misura,712 Holly Drive,4,2.5,2,"1,578",List ,"$315,900","$315,900",,Normal  ,"$1,578.57",Estimate ,"$1,778",3513,List,$196.00,List ,$200.19,$1.00,1.10%,,4.10%,"$130,778.31"
Perth Amboy,Paul Misura,716 Harbortown Blvd,4,3.5,1,"2,045",List ,"$240,000","$225,000",4/22/13,Normal?,"$2,045.74",Estimate ,"$2,245",5896,List,$221.00,List ,$110.02,$1.00,2.60%,,7.10%,"$160,008.53"
Perth Amboy,Paul Misura,734 Harbortown Blvd,4,3.5,2,"2,045",List ,"$199,900","$201,000",1/23/14,Foreclosure  ,"$2,045.74",Estimate ,"$2,245",6700,List,$221.00,List ,$98.29,$1.00,3.30%,10.81%,7.60%,"$151,968.53"
Perth Amboy,Paul Misura,782 Harbortown Blvd,4,2.5,2,"1,685",List ,"$225,000","$213,750",,Short Sale  ,"$1,685.61",Estimate ,"$1,885",6164,List,$221.00,List ,$126.85,$1.00,2.90%,13.12%,5.30%,"$114,112.94"
Perth Amboy,Paul Misura,802 Holly Drive,4,2.5,2,"1,800",List ,"$169,000","$169,000",,Normal?  ,"$1,800.65",Estimate ,"$2,000",5390,List,$300.00,List ,$93.89,$1.00,3.20%,,7.50%,"$126,177.92"
Perth Amboy,Paul Misura,830 Harbortown Blvd,4,3,2,"2,045",List ,"$214,500","$203,775",,Foreclosure  ,"$2,045.74",Estimate ,"$2,245",7376,List,$251.76,Estimate ,$99.65,$1.00,3.60%,,6.90%,"$141,517.42"
Perth Amboy,Paul Misura,844 Harbortown Blvd,4,2.5,2,"1,685",List ,"$209,000","$215,000",8/28/13,Normal  ,"$1,685.61",Estimate ,"$1,885",6164,List,$221.00,List ,$127.60,$1.00,2.90%,13.12%,5.30%,"$114,112.94"
Perth Amboy,Paul Misura,40 Fayette #2,2,2,0,"1,289",Estimate ,"$138,900","$138,900",,,"$1,289.47",Estimate ,"$1,489",4864,Estimate,$403.00,List ,$107.76,$1.00,3.50%,31.26%,4.20%,"$57,735.80"
Perth Amboy,Paul Misura,40 Fayette #9,1,1,0,823,List ,"$89,900","$89,900",,Normal  ,$823.30,Estimate ,"$1,023",2882,List,$230.00,List ,$109.23,$1.00,3.20%,27.95%,4.70%,"$42,375.63"
Perth Amboy,Paul Misura,40 Fayette #5,2,1,0,"1,289",Estimate ,"$84,900","$74,900",,Forcelosure  ,"$1,289.47",Estimate ,"$1,489",4567,List,$312.00,List ,$58.11,$1.00,6.10%,24.20%,9.60%,"$71,625.80"
Perth Amboy,Paul Misura,40 Fayette #7,2,1.5,0,"1,289",Estimate ,"$68,000","$68,000",,,"$1,500.00",Estimate ,"$1,489",4559,List,$334.00,List ,$52.75,$1.00,6.70%,25.91%,13.90%,"$94,330.00"
Perth Amboy,Paul Misura,40 Fayette #45,2,1.5,0,"1,289",Estimate ,"$110,000","$110,000",,Normal  ,"$1,289.47",Estimate ,"$1,289.47",5473,List,$510.00,List ,$85.34,$1.00,5.00%,,3.50%,"$38,805.80"
Perth Amboy,Paul Misura,368 Rector St #204,2,2,2,"1,289",Estimate ,"$144,900","$144,900",,Forcelosure,"$1,800.00",List ,"$1,800.00",6840,List,$422.00,List ,,$1.00,4.70%,,6.70%,"$96,960.00"
Perth Amboy,Paul Misura,358 Rector St #fl3,2,3,1,"1,500",List ,"$200,000","$190,000",,Normal,"$1,500.54",Estimate ,"$1,500.54",7438,List,$350.00,List ,$126.67,$1.00,3.70%,,3.40%,"$63,684.94"
Perth Amboy,Paul Misura,358 Rector St #fl2,2,3,1,"1,500",Estimate ,"$200,000","$190,000",,Normal,"$1,500.54",Estimate ,"$1,500.54",7438,List,$350.00,List ,$126.67,$1.00,3.70%,,3.40%,"$63,684.94"
Perth Amboy,Paul Misura,358 Rector St #324,2,3,1,"1,500",Estimate ,"$189,000","$179,550",,Normal,"$1,500.54",Estimate ,"$1,500.54",7438,List,$430.00,List ,$119.70,$1.00,3.90%,,3.00%,"$54,084.94"
Perth Amboy,Paul Misura,368 Rector St #522,3,2,1,"1,710",List ,"$169,000","$160,550",,Normal,"$1,710.62",Estimate ,"$1,710.62",6700,List,$386.00,List ,$93.89,$1.00,4.00%,,5.70%,"$91,954.03"
Perth Amboy,Paul Misura,368 Rector St #203,2,2,1,"1,273",List ,"$135,000","$128,250",,Normal,"$1,273.46",Estimate ,"$1,273.46",6840,List,$288.00,List ,$100.75,$1.00,5.10%,,3.90%,"$49,855.11"
Perth Amboy,Paul Misura,358 Rector St #311,3,3,2,"1,800",Estimate ,"$139,900","$132,905",,Normal,"$1,800.65",Estimate ,"$1,800.65",10428,List,$663.00,List ,$73.84,$1.00,7.50%,,2.40%,"$32,237.92"
Perth Amboy,Paul Misura,358 Rector St #309,3,3,2,"1,800",Estimate ,"$169,900","$161,405",,Normal,"$1,800.65",Estimate ,"$1,800.65",9851,List,$663.00,List ,$89.67,$1.00,5.80%,,2.40%,"$38,007.92"
Perth Amboy,Paul Misura,358 Rector St #611,2,2,2,"1,320",List ,"$135,000","$128,250",,Normal,"$1,320.48",Estimate ,"$1,320.48",9135,List,$422.00,List ,$97.16,$1.00,6.80%,,1.30%,"$16,467.14"
Perth Amboy,Paul Misura,368 Rector St #515,3,2,2,"2,100",List ,"$169,900","$161,405",,Normal,"$2,100.76",Estimate ,"$2,100.76",9033,List,$503.00,List ,$76.86,$1.00,5.30%,,6.30%,"$101,400.91"
Perth Amboy,Paul Misura,358 Rector St #217,2,2,0,"1,253",List ,"$118,000","$112,100",,Normal,"$1,253.45",Estimate ,"$1,253.45",6273,List,$345.00,List ,$89.47,$1.00,5.30%,,4.10%,"$46,284.24"
Perth Amboy,Patricia,434 Lawrence Ave Unit 6,1,1,,800,Estimate ,"$59,000","$59,000",,Short Sale,"$1,000.00",List ,"$1,000.00",2335.416667,Estimate,$223.00,List ,$73.75,,4.00%,,,
